               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.029889,            0.018446,           0.0010505,             0.91973,             0.86055,             0.91753,             0.66874,            0.027222,            0.013727,            0.001533,           0.0020782,           0.0020782,           0.0020782
                  95,            0.029779,            0.017983,           0.0010335,             0.92029,             0.86112,             0.91786,             0.66894,            0.027204,            0.013731,            0.001519,           0.0020028,           0.0020028,           0.0020028
                  96,            0.029868,            0.017886,           0.0010393,             0.91955,             0.86026,             0.91782,              0.6693,            0.027185,            0.013735,           0.0015211,           0.0019299,           0.0019299,           0.0019299
                  97,            0.029892,            0.018317,           0.0010932,             0.91934,             0.86027,             0.91714,             0.66948,            0.027173,            0.013731,           0.0015276,           0.0018594,           0.0018594,           0.0018594
                  98,            0.029567,            0.018198,          0.00099467,             0.92058,             0.85805,             0.91712,             0.66914,            0.027165,            0.013739,           0.0015259,           0.0017914,           0.0017914,           0.0017914
                  99,            0.029553,            0.018006,          0.00099934,             0.91907,             0.86043,             0.91742,             0.66946,            0.027146,            0.013756,           0.0015225,            0.001726,            0.001726,            0.001726
                 100,            0.029238,            0.017892,           0.0010003,              0.9183,             0.86132,             0.91706,             0.66908,             0.02713,            0.013766,           0.0015182,           0.0016631,           0.0016631,           0.0016631
                 101,            0.029404,             0.01783,          0.00099582,             0.91959,             0.85976,             0.91764,             0.66973,            0.027122,            0.013785,           0.0015224,           0.0016029,           0.0016029,           0.0016029
                 102,            0.029284,            0.017872,           0.0010239,             0.91912,             0.86079,              0.9172,             0.67031,             0.02711,              0.0138,           0.0015258,           0.0015453,           0.0015453,           0.0015453
                 103,            0.029216,            0.017973,           0.0010116,             0.92628,             0.85435,             0.91733,             0.67046,            0.027096,            0.013815,           0.0015273,           0.0014905,           0.0014905,           0.0014905
                 104,             0.02917,             0.01779,          0.00099921,             0.92566,             0.85411,             0.91721,             0.67063,            0.027093,            0.013832,           0.0015245,           0.0014384,           0.0014384,           0.0014384
                 105,            0.029289,            0.017941,           0.0010275,             0.92581,             0.85495,              0.9169,             0.67112,            0.027084,            0.013847,           0.0015256,            0.001389,            0.001389,            0.001389
                 106,            0.029213,            0.017844,            0.001008,             0.92698,             0.85463,             0.91696,              0.6713,             0.02707,            0.013856,           0.0015294,           0.0013425,           0.0013425,           0.0013425
                 107,            0.028924,            0.017567,          0.00094997,             0.92632,             0.85504,             0.91698,             0.67127,            0.027058,            0.013868,            0.001533,           0.0012989,           0.0012989,           0.0012989
                 108,            0.028824,            0.017652,           0.0010136,             0.92591,             0.85452,             0.91688,             0.67107,             0.02705,            0.013881,           0.0015384,           0.0012581,           0.0012581,           0.0012581
                 109,            0.029025,            0.017764,          0.00099902,             0.92602,             0.85453,             0.91697,              0.6714,            0.027046,            0.013891,           0.0015452,           0.0012202,           0.0012202,           0.0012202
                 110,            0.028852,            0.017591,          0.00099555,             0.92259,             0.85519,             0.91678,             0.67163,            0.027036,              0.0139,           0.0015529,           0.0011853,           0.0011853,           0.0011853
                 111,            0.029104,             0.01779,           0.0010088,             0.92494,             0.85478,             0.91669,             0.67119,             0.02703,            0.013907,             0.00156,           0.0011533,           0.0011533,           0.0011533
                 112,            0.028618,            0.017495,           0.0009817,             0.92751,             0.85265,             0.91669,             0.67132,            0.027024,            0.013915,           0.0015627,           0.0011243,           0.0011243,           0.0011243
                 113,            0.028555,            0.017387,          0.00095723,             0.92661,             0.85342,             0.91667,             0.67175,            0.027025,            0.013922,           0.0015765,           0.0010983,           0.0010983,           0.0010983
                 114,            0.028615,            0.017512,          0.00097577,             0.92585,             0.85383,             0.91681,             0.67211,            0.027019,             0.01393,           0.0015836,           0.0010754,           0.0010754,           0.0010754
                 115,            0.028548,             0.01729,          0.00098972,             0.92698,             0.85263,             0.91673,             0.67183,            0.027019,            0.013937,           0.0015889,           0.0010554,           0.0010554,           0.0010554
                 116,            0.028586,            0.017511,          0.00096089,             0.92763,             0.85287,             0.91659,             0.67194,            0.027016,            0.013942,           0.0015977,           0.0010385,           0.0010385,           0.0010385
                 117,            0.028604,            0.017336,          0.00096087,             0.92752,             0.85287,             0.91649,             0.67188,            0.027014,            0.013947,           0.0016022,           0.0010247,           0.0010247,           0.0010247
                 118,            0.028574,            0.017468,           0.0009816,             0.92445,             0.85522,             0.91607,             0.67235,            0.027015,            0.013954,           0.0016108,           0.0010139,           0.0010139,           0.0010139
                 119,            0.028487,            0.017391,          0.00094088,             0.92365,             0.85587,             0.91593,             0.67207,            0.027015,            0.013958,           0.0016163,           0.0010062,           0.0010062,           0.0010062
