               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.036433,             0.02822,           0.0026606,             0.89446,              0.8303,             0.89402,             0.61044,            0.030975,            0.020437,           0.0027858,           0.0075025,           0.0075025,           0.0075025
                  69,            0.036691,            0.028194,            0.002713,             0.90545,             0.82539,             0.89301,             0.61232,            0.030725,            0.020307,           0.0023421,           0.0074347,           0.0074347,           0.0074347
                  70,            0.036724,            0.028698,           0.0026227,             0.89872,             0.83138,             0.89668,             0.61297,            0.030696,            0.020255,           0.0024859,           0.0073663,           0.0073663,           0.0073663
                  71,            0.036399,            0.028279,           0.0024628,             0.89541,             0.83173,             0.89601,             0.61403,            0.030844,            0.020281,           0.0027253,           0.0072973,           0.0072973,           0.0072973
                  72,            0.036711,            0.028189,           0.0026892,             0.89616,              0.8286,             0.89458,             0.61317,             0.03073,            0.020307,            0.002849,           0.0072277,           0.0072277,           0.0072277
                  73,            0.036724,            0.028742,           0.0026103,             0.89498,             0.83284,             0.89538,             0.61668,            0.030505,            0.020314,           0.0027284,           0.0071576,           0.0071576,           0.0071576
                  74,            0.036172,            0.028231,           0.0025955,             0.89178,             0.83064,             0.89594,             0.61685,            0.030567,             0.02025,           0.0025093,            0.007087,            0.007087,            0.007087
                  75,            0.036245,            0.028187,           0.0024698,              0.8955,             0.82924,             0.89382,             0.61294,            0.030678,            0.020335,           0.0023784,           0.0070159,           0.0070159,           0.0070159
                  76,            0.036241,             0.02798,           0.0025277,             0.89786,             0.82735,             0.89385,             0.61533,            0.030553,            0.020232,           0.0025691,           0.0069443,           0.0069443,           0.0069443
                  77,            0.036379,            0.027683,           0.0026493,             0.90326,             0.82427,             0.89476,             0.61704,            0.030357,            0.020295,            0.002432,           0.0068722,           0.0068722,           0.0068722
                  78,             0.03623,            0.027943,           0.0026234,             0.89495,             0.83427,             0.89516,             0.61463,            0.030356,            0.020303,           0.0022705,           0.0067997,           0.0067997,           0.0067997
                  79,            0.036134,            0.027601,           0.0025152,             0.89263,             0.83663,             0.89529,             0.61561,            0.030353,            0.020248,           0.0022675,           0.0067268,           0.0067268,           0.0067268
                  80,            0.036063,            0.028022,           0.0025897,             0.90275,              0.8317,             0.89703,              0.6165,            0.030323,            0.020316,           0.0025885,           0.0066534,           0.0066534,           0.0066534
